"major_heading";"activity_code";"met_value";"activity_description";"cal_60kg_h";"cal_70kg_h";"cal_80kg_h"
"Running";"12170";"15";"Running, stairs, up";"945";"1102";"1260"
"Running";"12180";"10";"Running, on a track, team practice";"630";"735";"840"
"Running";"12184";"18";"Running, on track, 500-1500m, competitive";"1134";"1323";"1512"
"Running";"12186";"19.3";"Running, on track, 2000-3000m, competitive";"1216";"1419";"1621"
"Running";"12190";"8";"Running, training, pushing a wheelchair or baby carrier";"504";"588";"672"
"Running";"12200";"13.3";"Running, marathon";"838";"978";"1117"
"Running";"12255";"10.3";"Running uphill, 4.5mph, 5% incline";"649";"757";"865"
"Running";"12260";"13.3";"Running uphill, 6.0 mph, 5% incline";"838";"978";"1117"
"Running";"12265";"15.5";"Running uphill, 7.0 mph, 5% incline";"976";"1139";"1302"
"Running";"12325";"17.5";"Running uphill, 5.0 to 5.9 mph, 15% incline";"1102";"1286";"1470"
"Running";"12335";"8.8";"Running uphill, 0.6 to 0.79 mph, 30% incline";"554";"647";"739"
"Running";"12337";"10.3";"Running uphill, 0.8 to 0.99 mph, 30% incline";"649";"757";"865"
"Running";"12339";"11.8";"Running uphill, 1.0 to 1.19 mph, 30% incline";"743";"867";"991"
"Running";"12341";"13.5";"Running uphill, 1.2 to 1.39 mph, 30-40% incline";"850";"992";"1134"
"Running";"12343";"14.8";"Running uphill, 1.4 to 1.59 mph, 30% incline";"932";"1088";"1243"
"Running";"12345";"16.3";"Running uphill, >1.6mph, 10-30% incline";"1027";"1198";"1369"
"Running";"12350";"16";"Running, hilly terrain, ±100m change in elevation";"1008";"1176";"1344"
"Running";"12352";"5.8";"Running downhill, 5.0 to 5.9 mph, -10% to -15%";"365";"426";"487"
"Running";"12353";"7.5";"Running downhill, 6.0 to 6.9 mph, -10% to -15%";"472";"551";"630"
"Running";"12355";"9";"Running downhill, 7.0 to 8.9 mph, -10% to -15%";"567";"662";"756"
"Running";"12358";"9.3";"Running downhill, 6.0 to 7.9 mph, -3% to -9%";"586";"684";"781"
"Running";"12361";"13.8";"Running downhill, 8.0 to 10.5 mph, -3% to -9%";"869";"1014";"1159"
"Running";"12405";"5.3";"Running/jogging, curved treadmill, 3.0 to 3.9 mph";"334";"390";"445"
"Running";"12408";"6.5";"Running/jogging, curved treadmill, 4.0 to 4.9 mph";"410";"478";"546"
"Running";"12410";"11";"Running curved treadmill, 5.0 to 5.9 mph";"693";"808";"924"
"Running";"12412";"12";"Running curved treadmill, 7.0 to 7.9 mph";"756";"882";"1008"
"Running";"12414";"14";"Running curved treadmill, 8.0 to 8.9 mph";"882";"1029";"1176"
"Running";"12416";"16.8";"Running curved treadmill, 9.0 to 9.9 mph";"1058";"1235";"1411"
"Running";"12508";"8.5";"Running, 5.0 - 5.9 mph, 1.0 to 3.0 kg backpack";"536";"625";"714"
"Running";"12510";"9.5";"Running, 6.0 - 6.9 mph, 1.0 to 3.0 kg backpack";"598";"698";"798"
"Running";"12512";"9.8";"Running, 7.0 - 7.9 mph, 1.0 to 3.0 kg backpack";"617";"720";"823"
"Running";"12514";"12";"Running, 8.0 - 8.9 mph, 1.0 to 3.0 kg backpack";"756";"882";"1008"
"Running";"12555";"7.8";"Running, barefoot, 3.5-5.9 mph";"491";"573";"655"
"Running";"12560";"12";"Running, barefoot, 6.0-7.9 mph";"756";"882";"1008"
"Running";"12565";"13.5";"Running, barefoot, 8.0-8.9 mph";"850";"992";"1134"
"Running";"12585";"8";"Running, jogging stroller, indoors, 5 mph";"504";"588";"672"
"Running";"12588";"9";"Running, jogging stroller, indoors, 6 mph";"567";"662";"756"
"Running";"12593";"10";"Running, jogging stroller, outdoors, 5 mph";"630";"735";"840"
"Running";"12595";"11.5";"Running, jogging stroller, outdoors, 6 mph";"724";"845";"966"
"Running";"12600";"11.5";"Skipping, 5.5-6.0 mph";"724";"845";"966"
"Running";"12620";"13";"Triathlon, Running";"819";"956";"1092"
"Self Care";"13000";"2.3";"Getting ready for bed, general, standing";"145";"169";"193"
"Self Care";"13009";"2.3";"Sitting on toilet, eliminating while standing or  squatting";"145";"169";"193"
"Self Care";"13010";"1.5";"Bathing, sitting";"94";"110";"126"
"Self Care";"13020";"2.8";"Dressing, undressing, standing or sitting";"176";"206";"235"
"Self Care";"13030";"1.5";"Eating, sitting";"94";"110";"126"
"Self Care";"13035";"2";"Talking and eating or eating only, standing";"126";"147";"168"
"Self Care";"13036";"1.5";"Taking medication, sitting or standing";"94";"110";"126"
"Self Care";"13040";"2";"Grooming, washing hands, shaving, brushing  teeth, putting on make-up, sitting or standing";"126";"147";"168"
"Self Care";"13045";"2.5";"Hairstyling, standing";"158";"184";"210"
"Self Care";"13046";"1.3";"Having hair or nails done by someone else,  sitting";"82";"96";"109"
"Self Care";"13050";"2";"Showering, toweling off, standing";"126";"147";"168"
"Sexual Activity";"14010";"5.8";"Active, vigorous effort";"365";"426";"487"
"Sexual Activity";"14020";"3";"General, moderate effort";"189";"220";"252"
"Sexual Activity";"14030";"1.8";"Passive, light effort, kissing, hugging";"113";"132";"151"
"Sports";"15000";"5.5";"Alaska Native Games, Eskimo Olympics, general";"346";"404";"462"
"Sports";"15010";"4.3";"Archery (non-hunting)";"271";"316";"361"
"Sports";"15020";"7";"Badminton, competitive (Taylor Code 450)";"441";"514";"588"
"Sports";"15025";"9";"Badminton, competitive, match play";"567";"662";"756"
"Sports";"15030";"5.5";"Badminton, social singles and doubles, general";"346";"404";"462"
"Sports";"15040";"8";"Basketball, game (Taylor Code 490)";"504";"588";"672"
"Sports";"15050";"6";"Basketball, non-game, general (Taylor Code 480)";"378";"441";"504"
"Sports";"15055";"7.5";"Basketball, general";"472";"551";"630"
"Sports";"15060";"7";"Basketball, officiating (Taylor Code 500)";"441";"514";"588"
"Sports";"15062";"5.8";"Basketball, officiating";"365";"426";"487"
"Sports";"15070";"5";"Basketball, shooting baskets";"315";"368";"420"
"Sports";"15072";"9.3";"Basketball, drills, practice";"586";"684";"781"
"Sports";"15080";"2.5";"Billiards";"158";"184";"210"
"Sports";"15090";"3";"Bowling (Taylor Code 390)";"189";"220";"252"
"Sports";"15092";"3.8";"Bowling, indoor, bowling alley";"239";"279";"319"
"Sports";"15100";"12.3";"Boxing, in ring, general";"775";"904";"1033"
"Sports";"15110";"5.8";"Boxing, punching bag";"365";"426";"487"
"Sports";"15113";"7";"Boxing, punching bag, 60 b/min";"441";"514";"588"
"Sports";"15115";"8.5";"Boxing, punching bag, 120 b/min";"536";"625";"714"
"Sports";"15118";"10.8";"Boxing, punching bag, 180 b/min";"680";"794";"907"
"Sports";"15120";"7.8";"Boxing, sparring";"491";"573";"655"
"Sports";"15125";"9.3";"Boxing, simulated boxing round, exercise";"586";"684";"781"
"Sports";"15130";"7";"Broomball";"441";"514";"588"
"Sports";"15138";"6";"Cheerleading, gymnastic moves, competitive";"378";"441";"504"
"Sports";"15140";"4";"Coaching, football, soccer, basketball, baseball, swimming, etc.";"252";"294";"336"
"Sports";"15142";"8";"Coaching, actively playing sport with players";"504";"588";"672"
"Sports";"15150";"4.8";"Cricket, batting, bowling, fielding";"302";"353";"403"
"Sports";"15160";"3.3";"Croquet";"208";"243";"277"
"Sports";"15170";"4";"Curling";"252";"294";"336"
"Sports";"15180";"2.5";"Darts, wall or lawn";"158";"184";"210"
"Sports";"15190";"6";"Drag racing, pushing or driving a car";"378";"441";"504"
"Sports";"15192";"8.5";"Auto racing, open wheel";"536";"625";"714"
"Sports";"15195";"7.8";"Futsal";"491";"573";"655"
"Sports";"15200";"6";"Fencing, general";"378";"441";"504"
"Sports";"15203";"9.8";"Fencing, epee, competitive";"617";"720";"823"
"Sports";"15205";"10.5";"Floorball";"662";"772";"882"
"Sports";"15210";"8";"Football, competitive";"504";"588";"672"
"Sports";"15230";"8";"Football, touch, flag, general (Taylor Code 510)";"504";"588";"672"
"Sports";"15232";"4";"Football, touch, flag, light effort";"252";"294";"336"
"Sports";"15235";"2.5";"Football or baseball, playing catch";"158";"184";"210"
"Sports";"15240";"3";"Frisbee playing, general";"189";"220";"252"
"Sports";"15250";"8";"Frisbee, ultimate";"504";"588";"672"
"Sports";"15252";"3.8";"Frisbee golf";"239";"279";"319"
"Sports";"15255";"4.5";"Golf, general";"284";"331";"378"
"Sports";"15265";"4.3";"Golf, walking, carrying clubs";"271";"316";"361"
"Sports";"15270";"3.5";"Golf, miniature, driving range";"220";"257";"294"
"Sports";"15285";"4.5";"Golf, walking, pulling clubs";"284";"331";"378"
"Sports";"15290";"3.5";"Golf, using power cart (Taylor Code 070)";"220";"257";"294"
"Sports";"15300";"3.8";"Gymnastics, general";"239";"279";"319"
"Sports";"15310";"4";"Hacky sack";"252";"294";"336"
"Sports";"15320";"12";"Handball, general (Taylor Code 520)";"756";"882";"1008"
"Sports";"15330";"8";"Handball, team";"504";"588";"672"
"Sports";"15335";"4";"High ropes course, multiple elements";"252";"294";"336"
"Sports";"15340";"3.5";"Hang gliding";"220";"257";"294"
"Sports";"15350";"7.8";"Hockey, field";"491";"573";"655"
"Sports";"15360";"8";"Hockey, ice, general";"504";"588";"672"
"Sports";"15362";"10";"Hockey, ice, competitive";"630";"735";"840"
"Sports";"15370";"5.5";"Horseback riding, general";"346";"404";"462"
"Sports";"15380";"4.5";"Horse grooming, maintenance, saddling tasks";"284";"331";"378"
"Sports";"15390";"5.8";"Horseback riding, trotting";"365";"426";"487"
"Sports";"15395";"7.3";"Horseback riding, canter or gallop";"460";"537";"613"
"Sports";"15400";"3.8";"Horseback riding, walking";"239";"279";"319"
"Sports";"15402";"9";"Horseback riding, jumping";"567";"662";"756"
"Sports";"15403";"6";"Horseback riding, reining";"378";"441";"504"
"Sports";"15406";"2.1";"Horseback riding, simulator";"132";"154";"176"
"Sports";"15408";"1.8";"Horse cart, driving, standing or sitting";"113";"132";"151"
"Sports";"15410";"3";"Horseshoe pitching, quoits";"189";"220";"252"
"Sports";"15420";"12";"Jai alai";"756";"882";"1008"
"Sports";"15425";"5.3";"Martial Arts, different types, slower pace, novice performers, practice";"334";"390";"445"
"Sports";"15430";"10.3";"Martial Arts, different types, moderate pace (e.g., judo, jujitsu, karate, kick boxing, tae kwon do, tai-bo, Muay Thai boxing)";"649";"757";"865"
"Sports";"15432";"14.3";"Taekwondo, combat simulation";"901";"1051";"1201"
"Sports";"15433";"11.3";"Judo";"712";"831";"949"
"Sports";"15440";"4";"Juggling";"252";"294";"336"
"Sports";"15444";"6.5";"Kendo, kihon-keiko style, moderate intensity";"410";"478";"546"
"Sports";"15445";"9.6";"Kendo, kirikaeshi style, high intensity";"605";"706";"806"
"Sports";"15446";"11.3";"Kendo, kakari keiko style, very high intensity";"712";"831";"949"
"Sports";"15450";"7";"Kickball";"441";"514";"588"
"Sports";"15455";"5.5";"Kung Fu Gymnastics";"346";"404";"462"
"Sports";"15457";"7.3";"Kickboxing";"460";"537";"613"
"Sports";"15460";"8";"Lacrosse";"504";"588";"672"
"Sports";"15465";"3.3";"Lawn bowling, bocce ball, outdoor";"208";"243";"277"
"Sports";"15470";"4";"Motocross, off-road motor sports, all-terrain vehicle, general";"252";"294";"336"
"Sports";"15475";"5.3";"Motorcycle racing, Supormoto racing";"334";"390";"445"
"Sports";"15477";"7";"Netball";"441";"514";"588"
"Sports";"15480";"9";"Orienteering";"567";"662";"756"
"Sports";"15490";"10";"Paddleball, competitive";"630";"735";"840"
"Sports";"15500";"6";"Paddleball, casual, general (Taylor Code 460)";"378";"441";"504"
"Sports";"15503";"1.8";"Paragliding, moderate altitude";"113";"132";"151"
"Sports";"15506";"6.5";"Prusik climbing";"410";"478";"546"
"Sports";"15510";"8";"Polo, on horseback";"504";"588";"672"
"Sports";"15520";"10";"Racquetball, competitive";"630";"735";"840"
"Sports";"15525";"10.3";"Race Walking, 3.1 m/s (6.9 mph)";"649";"757";"865"
"Sports";"15527";"13.8";"Race Walking, 3.7 m/s (8.3 mph)";"869";"1014";"1159"
"Sports";"15528";"15.5";"Race Walking, racing speed, 4.0 m/s (8.95 mph)";"976";"1139";"1302"
"Sports";"15530";"7";"Racquetball, general (Taylor Code 470)";"441";"514";"588"
"Sports";"15533";"8";"Rock or mountain climbing (Taylor Code 060), (formerly code 17120)";"504";"588";"672"
"Sports";"15534";"8.8";"Rock climbing, free boulder";"554";"647";"739"
"Sports";"15535";"7.3";"Rock climbing, ascending rock, high difficulty";"460";"537";"613"
"Sports";"15536";"10.5";"Rock climbing, speed climbing, very difficult";"662";"772";"882"
"Sports";"15537";"5.8";"Rock climbing, ascending or traversing rock, low-to-moderate difficulty";"365";"426";"487"
"Sports";"15538";"10.5";"Rock climbing, treadwall, 4-6 m/min";"662";"772";"882"
"Sports";"15539";"10.5";"Rock climbing, treadwall, 7-10 m/min";"662";"772";"882"
"Sports";"15540";"5";"Rock climbing, rappelling,";"315";"368";"420"
"Sports";"15542";"4";"Rodeo sports, general, light effort";"252";"294";"336"
"Sports";"15544";"5.5";"Rodeo sports, general, moderate effort";"346";"404";"462"
"Sports";"15546";"7";"Rodeo sports, general, vigorous effort";"441";"514";"588"
"Sports";"15550";"12.3";"Rope jumping, fast pace, 120-160 skips/min";"775";"904";"1033"
"Sports";"15551";"11.8";"Rope jumping, moderate pace, general, 100 to 120 skips/min, 2 foot skip, plain bounce";"743";"867";"991"
"Sports";"15552";"8.3";"Rope jumping, slow pace, < 100 skips/min, 2 foot skip, rhythm bounce";"523";"610";"697"
"Sports";"15554";"10";"Rope jumping, double under or more";"630";"735";"840"
"Sports";"15560";"8.3";"Rugby, union, team, competitive";"523";"610";"697"
"Sports";"15562";"6.3";"Rugby, touch, non-competitive";"397";"463";"529"
"Sports";"15570";"3";"Shuffleboard";"189";"220";"252"
"Sports";"15580";"5";"Skateboarding, general, moderate effort";"315";"368";"420"
"Sports";"15582";"6";"Skateboarding, competitive, vigorous effort";"378";"441";"504"
"Sports";"15590";"7";"Skating, roller (Taylor Code 360)";"441";"514";"588"
"Sports";"15591";"7.5";"Roller blading, in-line skating, 14.4 km/h (9.0 mph), recreational pace";"472";"551";"630"
"Sports";"15592";"9.8";"Roller blading, in-line skating, 17.7 km/h (11.0 mph), moderate pace, exercise training";"617";"720";"823"
"Sports";"15593";"12.3";"Roller blading, in-line skating, 21.0 to 21.7 km/h (13.0 to 13.6 mph), fast pace, exercise training";"775";"904";"1033"
"Sports";"15594";"15.5";"Rollerblading, in-line skating, 24.0 km/h (15.0 mph), maximal effort";"976";"1139";"1302"
"Sports";"15595";"6.8";"Skateboard, longboard, 13.3 km/h, slow speed";"428";"500";"571"
"Sports";"15596";"8.3";"Skateboard, longboard, 16.2 km/h, typical speed";"523";"610";"697"
"Sports";"15597";"10.5";"Skateboard, longboard, 18.4 km/h, fast speed";"662";"772";"882"
"Sports";"15600";"3.5";"Skydiving, base-jumping, bungee jumping";"220";"257";"294"
"Sports";"15605";"9.5";"Soccer, competitive";"598";"698";"798"
"Sports";"15610";"7";"Soccer, casual, general (Taylor Code 540)";"441";"514";"588"
"Sports";"15615";"3.5";"Walking football/soccer";"220";"257";"294"
"Sports";"15620";"5";"Softball or baseball, fast or slow pitch, general, moderate effort (Taylor Code 440)";"315";"368";"420"
"Sports";"15625";"4";"Softball, practice";"252";"294";"336"
"Sports";"15630";"4";"Softball, officiating";"252";"294";"336"
"Sports";"15640";"6";"Softball, pitching";"378";"441";"504"
"Sports";"15645";"3.3";"Sports spectator, very excited, emotional, physically moving";"208";"243";"277"
"Sports";"15650";"12";"Squash (Taylor Code 530)";"756";"882";"1008"
"Sports";"15652";"7.3";"Squash, general";"460";"537";"613"
"Sports";"15660";"4";"Table tennis, ping pong (Taylor Code 410)";"252";"294";"336"
"Sports";"15670";"3.3";"Tai chi, qi gong, general";"208";"243";"277"
"Sports";"15672";"1.5";"Tai chi, qi gong, sitting, light effort";"94";"110";"126"
"Sports";"15674";"6";"Tai chi chuan, Yang style";"378";"441";"504"
"Sports";"15675";"6.8";"Tennis, general, moderate effort";"428";"500";"571"
"Sports";"15676";"8";"Tennis, general, competitive";"504";"588";"672"
"Sports";"15680";"6";"Tennis, doubles (Taylor Code 430)";"378";"441";"504"
"Sports";"15685";"4.5";"Tennis, doubles";"284";"331";"378"
"Sports";"15690";"8";"Tennis, singles (Taylor Code 420)";"504";"588";"672"
"Sports";"15695";"5";"Tennis, hitting balls, non-game play, moderate effort";"315";"368";"420"
"Sports";"15700";"6.3";"Trampoline, recreational";"397";"463";"529"
"Sports";"15702";"10.3";"Trampoline, competitive";"649";"757";"865"
"Sports";"15710";"4";"Volleyball (Taylor Code 400)";"252";"294";"336"
"Sports";"15711";"6";"Volleyball, competitive, in gymnasium";"378";"441";"504"
"Sports";"15720";"3";"Volleyball, non-competitive, 6 - 9 member team, general";"189";"220";"252"
"Sports";"15725";"8";"Volleyball, beach, in sand";"504";"588";"672"
"Sports";"15730";"6";"Wrestling, competitive (one match = 5 minutes)";"378";"441";"504"
"Sports";"15731";"7";"Wallyball, general";"441";"514";"588"
"Sports";"15732";"4";"Track and field (e.g., shot, discus, hammer throw)";"252";"294";"336"
"Sports";"15733";"6";"Track and field (e.g., high jump, long jump, triple jump, javelin, pole vault)";"378";"441";"504"
"Sports";"15734";"10";"Track and field (e.g., steeplechase, hurdles)";"630";"735";"840"
"Transportation";"16002";"6.8";"Bicycling for transportation, moderate effort";"428";"500";"571"
"Transportation";"16004";"9.3";"Bicycling for transportation, high effort";"586";"684";"781"
"Transportation";"16005";"6.8";"E-bike (electrically assisted) for transportation";"428";"500";"571"
"Transportation";"16010";"2";"Automobile or light truck (not a semi) driving";"126";"147";"168"
"Transportation";"16015";"1.3";"Riding in a car or truck";"82";"96";"109"
"Transportation";"16016";"1.3";"Riding in a bus or train";"82";"96";"109"
"Transportation";"16020";"1.8";"Flying airplane or helicoptor";"113";"132";"151"
"Transportation";"16030";"2.8";"Motor scooter, motorcycle";"176";"206";"235"
"Transportation";"16035";"6.3";"Pulling rickshaw";"397";"463";"529"
"Transportation";"16040";"6";"Pushing plane in and out of hangar";"378";"441";"504"
"Transportation";"16050";"2.5";"Truck, semi, tractor, >=1 ton, or bus, driving";"158";"184";"210"
"Transportation";"16060";"3.5";"Walking for transportation, 2.8-3.2 mph, level, moderate pace, firm surface";"220";"257";"294"
"Walking";"17010";"7";"Backpacking (Taylor Code 050)";"441";"514";"588"
"Walking";"17011";"3.5";"Walking with a day pack, level ground, assumed in the city";"220";"257";"294"
"Walking";"17012";"7.8";"Backpacking,  hiking with a daypack, organized walking with daypack";"491";"573";"655"
"Walking";"17016";"4";"Carrying 5 to 14 lb (2.3 to 6.4 kg) load (e.g. suitcase, boxes, groceries), level ground, moderate pace";"252";"294";"336"
"Walking";"17018";"4.5";"Carrying 15 - 155 lb (6.8 - 70.4 kg) load (e.g. suitcase, boxes, furniture), level ground or downstairs, slow pace";"284";"331";"378"
"Walking";"17019";"6.5";"Carrying 50 to 150 pound load (e.g., equine or bovine feed, fence pipes, furniture), level ground, moderate pace";"410";"478";"546"
"Walking";"17021";"2.3";"Carrying ~10 lb child, slow walking";"145";"169";"193"
"Walking";"17025";"8.3";"Carrying load upstairs, general";"523";"610";"697"
"Walking";"17026";"5.5";"Carrying load, 1 to 15 lb load, upstairs";"346";"404";"462"
"Walking";"17027";"6";"Carrying load, 16 to 24 lb load, upstairs";"378";"441";"504"
"Walking";"17028";"8";"Carrying load, 25 to 49 lb load, upstairs";"504";"588";"672"
"Walking";"17029";"10";"Carrying load, 50 to 74 lb load, upstairs";"630";"735";"840"
"Walking";"17030";"12";"Carrying load, >74 lb load, upstairs";"756";"882";"1008"
"Walking";"17031";"3.8";"Loading  and/or unloading a car, implied walking";"239";"279";"319"
"Walking";"17032";"5";"Climbing hills, no load, 5 to 20% grade, very slow pace";"315";"368";"420"
"Walking";"17033";"3.8";"Climbing hills, 15-50 lb load, 1 to 2% grade, slow pace";"239";"279";"319"
"Walking";"17034";"5.3";"Climbing hills, no load, 1 to 5% grade, moderate-to-brisk pace";"334";"390";"445"
"Walking";"17035";"7";"Climbing hills, no load, 6 to 10% grade, moderate-to-brisk pace";"441";"514";"588"
"Walking";"17036";"8.8";"Climbing hills, no load, 11 to 20% grade, slow-to-moderate pace";"554";"647";"739"
"Walking";"17037";"10";"Climbing hills, no load, 4.0 to 5.0 mph, 3 to 5% grade, very fast pace";"630";"735";"840"
"Walking";"17038";"8.5";"Climbing hills, no load, steep grade (30%), slow pace (less than 1.2 mph)";"536";"625";"714"
"Walking";"17039";"15.5";"Climbing hills, no load, very steep grade (30-40%), 1.2 to 1.8 mph";"976";"1139";"1302"
"Walking";"17040";"16.3";"Climbing hills, no load, steep grade (10-40%), 1.8 to 5.0 mph";"1027";"1198";"1369"
"Walking";"17045";"6.5";"Climbing hills, 10 to 20 lb load, 5 to 10% grade, moderate";"410";"478";"546"
"Walking";"17050";"7.5";"Climbing hills, 21 to 40 lb load, 3 to 10% grade, moderate-to-brisk pace";"472";"551";"630"
"Walking";"17060";"10";"Climbing hills, 20+ pound load, 5 to 20% grade, moderate to brisk pace";"630";"735";"840"
"Walking";"17070";"3.5";"Descending stairs";"220";"257";"294"
"Walking";"17076";"4.5";"Hauling water, head hauling, walking on flat surface";"284";"331";"378"
"Walking";"17080";"6";"Hiking, cross country (Taylor Code 040)";"378";"441";"504"
"Walking";"17081";"3.8";"Hiking slowly or ambling through fields and hillsides, no load";"239";"279";"319"
"Walking";"17082";"5.3";"Hiking or walking at a normal pace through fields and hillsides, no load";"334";"390";"445"
"Walking";"17085";"2.5";"Bird watching, walking and stopping";"158";"184";"210"
"Walking";"17088";"4.5";"Marching, moderate speed, military, no pack";"284";"331";"378"
"Walking";"17090";"8";"Marching rapidly, military, no pack";"504";"588";"672"
"Walking";"17100";"3.8";"Pushing or pulling stroller with child or walking with children, 2.5 to 3.1 mph";"239";"279";"319"
"Walking";"17105";"3.8";"Pushing a wheelchair, non-occupational";"239";"279";"319"
"Walking";"17110";"6.5";"Race walking";"410";"478";"546"
"Walking";"17130";"8";"Stair climbing, using or climbing up ladder (Taylor Code 030)";"504";"588";"672"
"Walking";"17131";"6.8";"Stair climbing, general";"428";"500";"571"
"Walking";"17133";"4.5";"Stair climbing, slow pace";"284";"331";"378"
"Walking";"17134";"9.3";"Stair climbing, fast pace, one step at a time";"586";"684";"781"
"Walking";"17136";"7.5";"Stair climbing, two steps at a time";"472";"551";"630"
"Walking";"17138";"7.5";"Stair climbing, ascending and descending stairs";"472";"551";"630"
"Walking";"17140";"4.5";"Using crutches, level ground, general";"284";"331";"378"
"Walking";"17142";"7";"Using crutches, fast pace";"441";"514";"588"
"Walking";"17145";"4.3";"Using medical knee scooter";"271";"316";"361"
"Walking";"17150";"2.3";"Walking, household";"145";"169";"193"
"Walking";"17151";"2.3";"Walking, less than 2.0 mph, level, strolling, very slow";"145";"169";"193"
"Walking";"17152";"2.8";"Walking, 2.0 to 2.4 mph, level, slow pace, firm surface";"176";"206";"235"
"Walking";"17160";"3.5";"Walking for pleasure (Taylor Code 010)";"220";"257";"294"
"Walking";"17161";"2.5";"Walking from house to car or bus, from car or bus to go places, from car or bus to and from the worksite";"158";"184";"210"
"Walking";"17162";"2.5";"Walking to neighbor’s house or family’s house for social reasons";"158";"184";"210"
"Walking";"17165";"3";"Walking the dog";"189";"220";"252"
"Walking";"17170";"3";"Walking, 2.5 mph, firm, level surface";"189";"220";"252"
"Walking";"17180";"3.3";"Walking, 2.5 mph, downhill";"208";"243";"277"
"Walking";"17190";"3.8";"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface";"239";"279";"319"
"Walking";"17200";"4.8";"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise";"302";"353";"403"
"Walking";"17220";"5.5";"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace";"346";"404";"462"
"Walking";"17230";"7";"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk";"441";"514";"588"
"Walking";"17231";"8.5";"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface";"536";"625";"714"
"Walking";"17250";"3.5";"Walking, for pleasure, work break (Taylor Code xxx)";"220";"257";"294"
"Walking";"17255";"4";"Walking, self-selected speed, indoor track or outdoors, firm surface";"252";"294";"336"
"Walking";"17260";"4.8";"Walking, grass track";"302";"353";"403"
"Walking";"17262";"4.5";"Walking, normal pace, plowed field or sand";"284";"331";"378"
"Walking";"17270";"4";"Walking, to work or class (Taylor Code 015)";"252";"294";"336"
"Walking";"17280";"2.5";"Walking, to and from an outhouse";"158";"184";"210"
"Walking";"17302";"4.3";"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace";"271";"316";"361"
"Walking";"17304";"5.3";"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace";"334";"390";"445"
"Walking";"17305";"8.5";"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace";"536";"625";"714"
"Walking";"17310";"8.8";"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace";"554";"647";"739"
"Walking";"17313";"10.8";"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)";"680";"794";"907"
"Walking";"17315";"12.3";"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)";"775";"904";"1033"
"Walking";"17320";"6";"Walking, backward, 3.5 mph, level";"378";"441";"504"
"Walking";"17325";"7.8";"Walking, backward, 3.5 mph, uphill, 5% grade";"491";"573";"655"
"Walking";"17330";"8";"Walking, Teabag walk, Monty Python Ministry of Silly Walks";"504";"588";"672"
"Walking";"17332";"3.5";"Walking, Putey walk, Monty Python Ministry of Silly Walks";"220";"257";"294"
"Walking";"17340";"2.1";"Walking, treadmill, less than 1.0 mph, 0% grade";"132";"154";"176"
"Walking";"17343";"2.3";"Walking, treadmill, 1.0 mph, 0% grade";"145";"169";"193"
"Walking";"17346";"2.8";"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)";"176";"206";"235"
"Walking";"17349";"3";"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade";"189";"220";"252"
"Walking";"17352";"3.5";"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade";"220";"257";"294"
"Walking";"17355";"3.8";"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade";"239";"279";"319"
"Walking";"17358";"4.8";"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade";"302";"353";"403"
"Walking";"17361";"5.8";"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade";"365";"426";"487"
"Walking";"17364";"6.8";"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade";"428";"500";"571"
"Walking";"17367";"8.3";"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade";"523";"610";"697"
"Walking";"17382";"3.3";"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph";"208";"243";"277"
"Walking";"17412";"3.3";"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles";"208";"243";"277"
"Walking";"17434";"4.8";"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load";"302";"353";"403"
"Walking";"17438";"5.8";"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load";"365";"426";"487"
